Unnamed: 0,ligand_name,Minimum Energy,Smiles,IC50,pIC50
30,ligand_452,-7.1,C[C@@H](Oc1cc(-c2ccc(OCC(F)(F)F)nc2)cc2ncccc12)[C@H]1CNC(=O)C1,3.4,8.468521082957745
31,ligand_1893,-6.4,CCn1ncc2cc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)nnc3C(N)=O)ccc21,0.52,9.2839966563652
32,ligand_3738,-7.6,,,
33,ligand_1569,-7.7,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(C4CCOCC4)cc3)c2n1,3.8,8.42021640338319
34,ligand_2816,-6.4,CN(C)CCN(C)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,71.0,7.1487416512809245
35,ligand_1605,-7.6,CC(C)Nc1nc(-c2cccnc2N)cc2ncn(C)c(=O)c12,126.0,6.899629454882437
36,ligand_1227,-7.1,COc1ccc(Nc2nc(-c3ccc4nn[nH]c4c3)cn3ccnc23)cc1OC,12.6,7.899629454882437
37,ligand_3137,-6.9,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCO)n2)cc1,200.0,6.698970004336019
38,ligand_2806,-6.4,Cc1cc(C)cc(Nc2nccc(-c3nc(C)c(CCO)s3)n2)c1,32.0,7.494850021680094
39,ligand_2168,-7.4,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(OCc3cccnc3)c(C(=O)O)c2)c1,9.1,8.040958607678906
40,ligand_137,-7.3,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1nc(-c2ccccc2)cs1,0.38,9.42021640338319
41,ligand_3339,-8.2,,,
42,ligand_3495,-8.6,,,
43,ligand_3305,-7.9,,,
44,ligand_3840,-8.5,,,
45,ligand_900,-3.6,CC(C)(C)c1cc(C(=O)N/N=C/c2cc3ccccc3cc2O)cc(C(C)(C)C)c1O,4000.0,5.3979400086720375
46,ligand_1287,-7.9,COc1cc(-c2cc3c(ccc[n+]3[O-])c(O[C@H](C)[C@H]3CNC(=O)C3)n2)cc(Cl)c1OC,5.0,8.301029995663981
47,ligand_714,-7.6,CN1CCN(C(=O)c2cc3cc(Nc4nccc(-c5ccccn5)n4)ccc3s2)CC1,18.0,7.744727494896693
48,ligand_2462,-6.8,COCCOc1c(C(=O)O)cccc1-c1cc(C)cc(Nc2nccc(C(F)(F)F)n2)c1,27.1,7.567030709125595
49,ligand_2358,-7.9,CCNc1nc(-c2ccc(C3(O)CCC3)cc2)cc2ncn(C)c(=O)c12,271.0,6.567030709125595
50,ligand_2592,-5.8,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cc(-c2ncccn2)cs1,0.55,9.259637310505756
51,ligand_1459,-7.1,COC1CCN(c2cc(Nc3nccc(C(F)(F)F)n3)cc(-c3ccccc3)c2)CC1,424.1,6.372531727540291
52,ligand_3527,-7.5,,,
53,ligand_906,-7.0,COCCNc1nc(-c2ccc(NCCN3CCOCC3)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12,26.0,7.585026652029182
54,ligand_1059,5.2,Cc1cc(Nc2nccc(-c3cn(C)cn3)n2)cc2cc(C(=O)NCC3CNC(=O)C3)[nH]c12,9.2,8.036212172654444
55,ligand_1672,-7.5,c1nc2c(Nc3ccc(N4CCOCC4)cc3)nc(-c3ccc4cn[nH]c4c3)cc2[nH]1,301.0,6.521433504406157
56,ligand_1651,-6.1,COC[C@H]1CCN(c2nc(-c3ccc(N4CCN(C)CC4)cc3)cc3ncn(C)c(=O)c23)C1,1084.0,5.964970717797632
57,ligand_1085,4.0,CC(=O)Nc1ccc(C(=O)N2CCC(Nc3ccc(-c4cc(C)cc(Nc5cc(C(F)(F)F)ccn5)n4)cn3)CC2)cc1,4.0,8.397940008672037
58,ligand_1899,-7.3,COCC(=O)N[C@@H](C)CNc1nc(-c2ccc(C(C)(C)O)nc2)cc2ncn(C)c(=O)c12,182.0,6.739928612014925
59,ligand_72,-7.5,NCCCNc1nc(-c2cccc(C(F)(F)F)c2)cc2ncccc12,830.0,6.080921907623926
60,ligand_954,-7.3,CC(C)Nc1nc(-c2ccc(CN3CCCC3)nc2)cc2ncn(C)c(=O)c12,262.0,6.581698708680254
61,ligand_1361,-8.0,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,620.0,6.2076083105017466
62,ligand_3132,-5.2,COc1cc(/C=C/[N+](=O)[O-])ccc1O,76.0,7.119186407719209
63,ligand_2374,6.3,Nc1cncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(CC(CO)CO)CC4)cc3)n2)n1,14.5,7.838631997765025
64,ligand_3089,-7.3,NCCCNc1nc(-c2ccc(N3CCOCC3)cc2)cc2ncccc12,8.0,8.096910013008056
65,ligand_3736,-8.9,,,
66,ligand_541,-7.4,CC(=O)Nc1ccc(-c2cc3ncn(C)c(=O)c3c(NC(C)C)n2)cn1,533.0,6.273272790973428
67,ligand_197,-7.4,CCCn1cc(-c2cc(OCc3ncccc3C(N)=O)c3cccnc3c2)cn1,1.5,8.823908740944319
68,ligand_2294,6.3,CN(CCCN1CCOCC1)C(=O)c1cc2cc(Nc3nccc(-c4cn(C)cn4)n3)cc(Cl)c2[nH]1,5.1,8.292429823902063
69,ligand_675,-6.4,CN1CCN(C(=O)c2ccc(-c3cc(OCc4ncccc4C(N)=O)c4cccnc4c3)cc2)CC1,63.2,7.199282921717615
