,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,docking_score,canonical_smiles,IC50_,pIC50,IC50
0,0.5019833588959043,2.556972115684175,0,0,0,0,-6.9,CNC(=O)c1cc2cc(Nc3nccc(-c4ccccn4)n3)cc(Cl)c2[nH]1,1.8,8.744727494896694,1
1,0.345095468896835,3.644366879962644,0,0,0,0,-6.6,Cn1cc2cc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)nnc3C(N)=O)cc(-c3ccccc3)c2n1,0.23,9.638272163982409,1
2,0.6223533402852109,2.082795021184589,0,0,0,0,-8.1,FC(F)(F)c1ccnc(Nc2cccc(-c3ccc(Br)cc3)c2)n1,3342.0,5.475993554442628,0
3,0.44127975059221103,3.5307313849624897,0,0,0,0,-7.4,COc1cc(Nc2nc(NC3CCCC[C@H]3N)n3ncnc3c2C(N)=O)cc(OC)c1,1.0,9.0,1
4,0.34058194729574176,2.528853922929187,0,0,0,0,-7.0,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(OCc3ccccn3)c(C(=O)O)c2)c1,14.3,7.844663962534938,1
5,0.47786979242042693,2.515894593206653,0,0,1,1,-7.2,Cc1ccc(OCC(=O)N/N=C/c2c[nH]nc2-c2ccc(Cl)c(Cl)c2)cc1,30900.0,4.510041520575165,0
6,0.47270094150269476,3.0667127862888073,0,0,0,0,-7.0,Cn1cnc(-c2ccnc(Nc3cc(Cl)c4[nH]c(C(=O)N5CCC(C#N)CC5)cc4c3)n2)c1,5.1,8.292429823902063,1
7,0.6401454595683054,2.8627839038959646,0,0,0,0,-7.3,O=C1CCc2ccc(Nc3nc(NCC(F)(F)F)c4occc4n3)cc2N1,63.0,7.200659450546418,0
8,0.30162594684041394,3.204276913814354,0,0,0,0,-8.6,CC1CCCN1c1cccc(Nc2cc(-c3ccc(C(=O)NCCc4ccncc4)cc3)nn3ccnc23)n1,87.58,7.057595059143893,0
9,0.7185417074261438,2.475641751919742,0,0,0,0,-6.9,CC(C)Nc1nc(-c2ccc(CN3CCOCC3)cc2)cc2ncn(C)c(=O)c12,626.0,6.20342566678957,0
